country_region,date,confirmed,deaths,recovered,active,admin2
Liberia,2022-11-20,8014,294,,,
Liberia,2020-08-05,1221,78,699,444,
Liberia,2022-09-11,7898,294,,,
Liberia,2020-05-05,170,20,58,92,
Liberia,2021-03-26,2042,85,1899,58,
Liberia,2021-05-26,2174,86,2033,55,
Liberia,2022-05-06,7434,294,,,
Liberia,2020-04-05,13,3,3,7,
Liberia,2022-06-21,7493,294,,,
Liberia,2020-08-15,1257,82,788,387,
Liberia,2020-05-15,219,20,108,91,
Liberia,2022-10-18,7988,294,,,
Liberia,2020-09-15,1327,82,1214,31,
Liberia,2020-06-21,626,34,254,338,
Liberia,2020-07-21,1108,70,575,463,
Liberia,2022-03-22,7397,294,,,
Liberia,2021-08-16,5459,148,,,
Liberia,2021-03-23,2042,85,1899,58,
Liberia,2022-03-05,7384,294,,,
Liberia,2021-06-07,2290,88,2055,147,
Liberia,2020-09-24,1338,82,1221,35,
Liberia,2021-03-08,2024,85,1892,47,
Liberia,2020-07-24,1135,71,621,443,
Liberia,2020-06-24,662,34,270,358,
Liberia,2020-12-17,1779,83,1406,290,
Liberia,2021-03-25,2042,85,1899,58,
Liberia,2020-08-24,1290,82,819,389,
Liberia,2021-12-20,5916,287,,,
Liberia,2022-03-12,7392,294,,,
Liberia,2022-08-22,7656,294,,,
Liberia,2020-03-24,3,0,0,3,
Liberia,2022-08-30,7835,294,,,
Liberia,2020-05-24,265,26,139,100,
Liberia,2020-11-17,1512,82,1318,112,
Liberia,2020-10-17,1377,82,1268,27,
Liberia,2020-04-24,117,8,25,84,
Liberia,2021-06-15,2575,94,2099,382,
Liberia,2021-12-05,5824,287,,,
Liberia,2022-06-10,7459,294,,,
Liberia,2022-08-07,7548,294,,,
Liberia,2021-01-05,1779,83,1406,290,
Liberia,2022-03-20,7397,294,,,
Liberia,2021-09-05,5727,245,,,
Liberia,2022-07-27,7508,294,,,
Liberia,2020-03-20,2,0,0,,
Liberia,2021-11-25,5821,287,,,
Liberia,2021-06-30,4093,128,2346,1619,
Liberia,2022-10-27,7988,294,,,
Liberia,2021-03-17,2042,85,1899,58,
Liberia,2021-07-02,4520,133,2411,1976,
Liberia,2021-07-10,5102,144,2588,2370,
Liberia,2021-01-12,1876,84,1697,95,
Liberia,2021-05-29,2179,86,2033,60,
Liberia,2022-02-17,7360,290,,,
Liberia,2022-05-25,7455,294,,,
Liberia,2021-08-27,5538,245,,,
Liberia,2022-02-25,7360,290,,,
Liberia,2021-04-20,2042,85,1899,58,
Liberia,2020-12-24,1779,83,1406,290,
Liberia,2022-11-21,8014,294,,,
Liberia,2021-06-08,2290,88,2055,147,
Liberia,2020-03-31,3,0,0,3,
